"","OP_CODE","YEAR","VESSEL","SURVEY","BEST_LAT_DD","BEST_DEPTH_M","AREA_SWEPT_MSQ","EXPANDED_WT_KG","NUMBER_FISH"
"1",200303003001,2003,3,3,46.3042458333335,527.5357,16567.14800772,10.42,31
"2",200303003002,2003,3,3,46.732166290283,673.7497,22987.60995311,0,0
"3",200303003003,2003,3,3,46.7192630767825,276.165,17726.25693556,20.29,90
"4",200303003004,2003,3,3,46.924186706543,823.6656,27051.5680743,0,0
"5",200303003005,2003,3,3,47.0143875,172.6837,19599.4720935,2.29,6
"6",200303003006,2003,3,3,47.563848495483,985.7053,23999.55479906,0,0
"7",200303003007,2003,3,3,47.5058670043945,1252.7002,27523.2676176,0,0
"8",200303003008,2003,3,3,47.540065765381,556.7504,17877.949638,0,0
"9",200303003009,2003,3,3,47.5767917633055,267.3988,22435.2787001,2.54,20
"10",200303003010,2003,3,3,47.6406875,137.403,20674.99652862,1.16,14
"11",200303003011,2003,3,3,47.7287833333335,98.7985,18679.48140393,36.44,134
"12",200303003012,2003,3,3,47.8412333333335,123.9861,20945.04506396,14.05,69
"13",200303003013,2003,3,3,47.838954166667,174.2101,21564.4788765,5.64,18
"14",200303003014,2003,3,3,47.7140617370605,839.8349,26381.4213396,0,0
"15",200303003015,2003,3,3,47.659620285034,595.23,23217.40680081,0,0
"16",200303003016,2003,3,3,48.0950660705565,896.6046,26012.3958213,0,0
"17",200303003017,2003,3,3,47.9368896484375,859.4999,21999.12106896,0,0
"18",200303003019,2003,3,3,47.769283294678,1129.4489,29243.96843876,0,0
"19",200303003020,2003,3,3,48.3439625000005,237.2786,22462.26683239,4.18,11
"20",200303003021,2003,3,3,48.3294200897215,113.6444,17501.51510037,6.92,59
"21",200303003023,2003,3,3,48.227531433105,203.4385,20074.10326872,10.69,89
"22",200303003024,2003,3,3,48.1607513427735,65.1401,17389.28847468,53.33,180
"23",200303003025,2003,3,3,48.092523574829,344.5687,25270.6618884,32.43,207
"24",200303003026,2003,3,3,48.1563510894775,270.0982,21964.87523,18.26,50
"25",200303003027,2003,3,3,47.9978275299075,99.1679,19128.79983186,5.93,66
"26",200303003028,2003,3,3,48.0028896331785,160.239,21466.8137655,13.59,56
"27",200303003029,2003,3,3,48.0440979003905,141.5147,23946.98329535,13.56,72
"28",200303003030,2003,3,3,48.0769634246825,214.7101,21077.79848536,3.01,33
"29",200303003032,2003,3,3,48.1139965057375,160.6221,19614.03025513,2.28,19
"30",200303003033,2003,3,3,47.2958087921145,230.5073,25228.69076637,22.96,50
"31",200303003034,2003,3,3,47.292657852173,182.9549,22816.878768,34.83,207
"32",200303003035,2003,3,3,47.0294075012205,106.4511,20640.2212161,9.79,69
"33",200303003036,2003,3,3,46.527618408203,53.4226,19257.84210633,196.94,1670
"34",200303003037,2003,3,3,46.5906295776365,803.1622,24796.15956733,0,0
"35",200303003038,2003,3,3,46.4322375,990.546,17929.62769125,0,0
"36",200303003039,2003,3,3,46.151931762695,1079.79,27098.83189145,0,0
"37",200303003040,2003,3,3,46.0476474761965,403.1635,17066.04340452,13.01,77
"38",200303003041,2003,3,3,46.074733734131,256.9403,20724.90732,21.72,107
